2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/core/handlers/asgi.py first seen with mtime 1709630800.562575
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/charset_normalizer/constant.py first seen with mtime 1711440619.930212
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1709630799.930559
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/db/models/sql/query.py first seen with mtime 1709630800.634577
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/contextlib.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/wsgiref/util.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/core/cache/backends/base.py first seen with mtime 1709630800.554575
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/utils/termcolors.py first seen with mtime 1709630800.702578
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/vine/funtools.py first seen with mtime 1713160903.724078
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1709630799.938559
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/celery/utils/imports.py first seen with mtime 1713160905.936142
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/db/models/lookups.py first seen with mtime 1709630800.622576
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/pickle.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/json/__init__.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/asyncio/events.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/apps/registry.py first seen with mtime 1709630799.334544
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/requests/sessions.py first seen with mtime 1711440620.174219
